"","School","ID","CoNo","StNo","Long","Lat","Low","High","Students"
"1204","POWDERLY ELEM SCH","010039000170","73","01","-86.869100","33.466100",0,5,524.598433921844
"1205","PRATTVILLE ELEM SCH","010024000047","1","01","-86.455500","32.454700",3,4,592
"1206","PRATTVILLE HIGH SCH","010024000048","1","01","-86.471600","32.500500",9,12,2033
"1207","PRATTVILLE INTERMEDIATE SCH","010024000050","1","01","-86.451600","32.454200",5,6,656
"1208","PRATTVILLE JR HIGH SCH","010024000049","1","01","-86.470700","32.484900",7,8,1065
"1209","PRATTVILLE KINDERG SCH","010024001639","1","01","-86.466200","32.457400",0,0,475
"1210","PRATTVILLE PRIMARY SCH","010024000051","1","01","-86.468400","32.462400",1,2,632
"1211","PRICEVILLE ELEM SCH","010248001440","103","01","-86.879300","34.534700",0,5,702
"1212","PRICEVILLE HIGH SCH","010248001048","103","01","-86.897800","34.527400",9,12,438
"1213","PRICEVILLE JR HIGH SCH","010248001871","103","01","-86.898000","34.527500",6,8,357
"1214","PRINCETON ALT SCH","010039000174","73","01","-86.860700","33.502600",0,5,237
"1215","PROJECT SUCCESS LEARNING CTR","010216001578","85","01","-86.678300","32.155200",6,12,524.598433921844
"1216","PROVIDENCE ELEM","010180002172","89","01","-86.695400","34.760900",-1,5,874
"1217","PROVIDENCE SCH","010180001652","89","01","-86.696400","34.761000",6,8,524.598433921844
"1218","R A HUBBARD HIGH SCH","010204000776","79","01","-87.309600","34.681500",0,12,273
"1219","R E THOMPSON INTERMEDIATE SCH","010342001299","33","01","-87.715000","34.721600",3,5,338
"1220","RACHEL PATTERSON ELEM SCH","010135001661","53","01","-87.503600","31.017800",0,2,421
"1221","RAGLAND HIGH SCH","010306201376","115","01","-86.151800","33.741800",-1,12,555
"1222","RAINBOW ELEM SCH","010000801485","89","01","-86.733100","34.751200",-1,6,820
"1223","RAINBOW MIDDLE SCH","010138001508","55","01","-86.062100","33.947200",6,8,662
"1224","RAMSAY HIGH SCH","010039000176","73","01","-86.798600","33.497600",9,12,758
"1225","RANBURNE ELEM SCH","010078001726","29","01","-85.347300","33.523800",0,4,330
"1226","RANBURNE HIGH SCH","010078000321","29","01","-85.346500","33.523400",5,12,523
"1227","RANDOLPH CO HIGH SCH","010282001119","111","01","-85.487800","33.311000",7,12,431
"1228","RANDOLPH ELEM SCH","010036000096","7","01","-86.906300","32.901300",0,6,204
"1229","RANDOLPH PK ELEM SCH","010009000020","15","01","-85.859100","33.665600",0,5,241
"1230","RANDOLPH-ROANOKE CAREER TECH CTR","010285001387","111","01","-85.481800","33.297700",9,12,524.598433921844
"1231","RANDOLPH-ROANOKE CAREER TECH CTR","010282001139","111","01","-85.481800","33.297700",10,12,524.598433921844
"1232","RAYMOND L YOUNG ELEM SCH","010315001205","121","01","-86.116400","33.408700",0,6,260
"1233","RED BAY HIGH SCH","010159000545","59","01","-88.138100","34.435400",0,12,786
"1234","RED LEVEL ELEM SCH","010093002167","39","01","-86.612800","31.402700",-1,6,351
"1235","RED LEVEL HIGH SCH","010093000362","39","01","-86.612000","31.402700",7,12,284
"1236","REDLAND ELEM SCH","010129002142","51","01","-86.215000","32.547700",0,6,893
"1237","REELTOWN HIGH SCH","010321001234","123","01","-85.805000","32.602700",0,12,788
"1238","REFORM ELEM SCH","010273001106","107","01","-88.026500","33.376000",0,6,319
"1239","REHOBETH ELEM SCH","010177002078","69","01","-85.446800","31.125100",-1,5,1024
"1240","REHOBETH HIGH SCH","010177000615","69","01","-85.459300","31.120900",9,12,687
"1241","REHOBETH MIDDLE SCH","010177002077","69","01","-85.446800","31.125100",6,8,545
"1242","REPTON JR HIGH SCH","010087000350","35","01","-87.234500","31.411500",-1,8,172
"1243","RICHLAND ELEMENTARY SCHOOL","010021001879","81","01","-85.502100","32.635500",0,2,480
"1244","RIDGECREST ELEM SCH","010270001091","113","01","-85.020500","32.433800",0,5,785
"1245","RIDGECREST ELEM SCH","010180000643","89","01","-86.622400","34.700900",-1,5,511
"1246","RISE ACADEMY","010265002200","115","01","-86.294400","33.583900",-1,12,55
"1247","RIVERCHASE ELEM SCH","010000702091","117","01","-86.812900","33.359600",0,5,649
"1248","RIVERCHASE MIDDLE SCH","010303001393","117","01","-86.810200","33.346600",6,8,730
"1249","RIVERTON ELEM SCH","010222002082","89","01","-86.477900","34.825200",-1,3,398
"1250","RIVERTON INTERMEDIATE SCH","010222002178","89","01","-86.491700","34.799200",4,6,793
"1251","ROBERT C ARTHUR ELEM SCH","010039001744","73","01","-86.702500","33.623100",0,5,524.598433921844
"1252","ROBERT C HATCH HIGH SCH","010267001577","105","01","-87.516000","32.444400",7,12,361
"1253","ROBERT D SLOMAN PRIMARY","010000601413","95","01","-86.323300","34.176700",-1,2,504
"1254","ROBERT E LEE ELEM SCH","010039000149","73","01","-86.866200","33.485500",0,5,524.598433921844
"1255","ROBERT E LEE INTERMEDIATE ELEM SCH","010237001609","97","01","-88.067000","30.846600",3,5,524.598433921844
"1256","ROBERT E LEE PRIMARY ELEM SCH","010237000950","97","01","-88.067700","30.849200",0,2,524.598433921844
"1257","ROBERT F BUMPUS MIDDLE SCH","010000701422","117","01","-86.852500","33.330900",7,8,858
"1258","ROBERT NEAVES CTR","010180001375","89","01","-86.597500","34.742800",0,12,524.598433921844
"1259","ROBERTSDALE ELEM SCH","010027001716","3","01","-87.698500","30.551900",-1,6,1084
"1260","ROBERTSDALE HIGH SCH","010027000024","3","01","-87.708300","30.543100",9,12,1348
"1261","ROBINSON ELEM SCH","010144000519","73","01","-86.914600","33.477600",0,6,324
"1262","ROBINSON ELEM SCH","010039000179","73","01","-86.719300","33.572700",-1,5,407
"1263","ROCK MILLS JR HIGH SCH","010282001122","111","01","-85.292900","33.153800",0,8,156
"1264","ROCK QUARRY ELEM SCH","010336000584","125","01","-87.512600","33.266100",0,5,576
"1265","ROCK QUARY MIDDLE SCHOOL","010336001889","125","01","-87.513300","33.266200",6,8,552
"1266","ROCKWELL ELEM SCH","010027000550","3","01","-87.847700","30.677800",0,5,849
"1267","ROCKY RIDGE ELEM SCH","010000701742","73","01","-86.766800","33.409100",0,5,570
"1268","ROGER B CHAFFEE ELEM SCH","010180000621","89","01","-86.574500","34.655000",-1,5,388
"1269","ROGERS HIGH SCH","010201000772","77","01","-87.522100","34.962400",-1,12,1233
"1270","ROLLING HILLS ELEM SCH","010180000644","89","01","-86.606900","34.789200",-1,5,439
"1271","ROSALIE ELEM SCH","010183000666","71","01","-85.763900","34.700600",0,8,209
"1272","ROSINTON SCH","010027000065","3","01","-87.679800","30.619400",-1,6,338
"1273","RUBEN YANCY ALT SCH","010306201590","115","01","-86.247800","33.832100",0,12,524.598433921844
"1274","RUCKER BOULEVARD ELEM SCH","010132000481","31","01","-85.817800","31.326900",1,6,489
"1275","RUDD MIDDLE SCH","010192001543","73","01","-86.680400","33.701700",6,8,827
"1276","RUHUMA JR HIGH SCH","010114000423","49","01","-85.738600","34.353700",0,8,157
"1277","RUSSELL CO HIGH SCH","010288001802","113","01","-85.149900","32.333600",9,12,1027
"1278","RUSSELL CO MIDDLE SCH","010288001441","113","01","-85.155900","32.331100",7,8,568
"1279","RUSSELL ELEM SCH","010288001138","113","01","-85.419600","32.238900",0,6,524.598433921844
"1280","RUSSELLVILLE ELEM SCH","010291001140","59","01","-87.743600","34.524500",3,5,563
"1281","RUSSELLVILLE HIGH SCH","010291001142","59","01","-87.739300","34.524900",9,12,685
"1282","RUSSELLVILLE MIDDLE SCH","010291001141","59","01","-87.740000","34.528700",6,8,591
"1283","RUTLEDGE SCH","010235000892","73","01","-86.941900","33.449300",5,8,399
"1284","RYAN SCH","010248001049","103","01","-86.610500","34.340800",0,8,524.598433921844
"1285","SAFETY NET CROSSINGS","010001502121","101","01","-86.225900","32.312300",6,12,524.598433921844
"1286","SAFETY NET VILLA","010001502126","101","01","-86.308900","32.359900",6,12,524.598433921844
"1287","SAINT CLAIR CO HIGH SCH","010306201367","115","01","-86.376700","33.704700",9,12,598
"1288","SAINT ELMO ELEM SCH","010237001732","97","01","-88.243300","30.510200",0,5,430
"1289","SAKS ELEM SCH","010054000242","15","01","-85.832100","33.701800",0,4,540
"1290","SAKS HIGH SCH","010054000243","15","01","-85.836700","33.702200",8,12,523
"1291","SAKS MIDDLE SCH","010054000244","15","01","-85.834200","33.701200",5,7,302
"1292","SALEM ELEM SCH","010111000404","47","01","-87.260300","32.349700",-1,5,222
"1293","SAMSON ELEM SCH","010166001771","61","01","-86.045900","31.124500",0,5,316
"1294","SAMSON HIGH SCH","010166000571","61","01","-86.050200","31.117600",9,12,211
"1295","SAMSON MIDDLE SCH","010166001772","61","01","-86.050200","31.117600",6,8,216
"1296","SAND ROCK HIGH SCH","010063000282","19","01","-85.767400","34.241000",0,12,861
"1297","SANFORD AVENUE ELEM SCH","010141001510","5","01","-85.151200","31.897400",3,5,602
"1298","SANFORD MIDDLE SCH","010207000793","81","01","-85.396700","32.496400",5,8,649
"1299","SANSOM MIDDLE SCH","010162000559","55","01","-86.036500","34.023000",6,8,484
"1300","SARALAND ELEM SCH","010018500952","97","01","-88.078300","30.812200",0,4,997
"1301","SARALAND HIGH SCH","010018502137","97","01","-88.101900","30.797100",9,12,918
"1302","SARALAND MIDDLE/NELSON ADAMS","010018500893","97","01","-88.064200","30.831200",5,8,815
"1303","SARDIS HIGH SCH","010138000505","55","01","-86.122900","34.176300",7,12,719
"1304","SATSUMA CITY HIGH SCHOOL","010018902195","97","01","-88.056900","30.847100",7,12,658
"1305","SATSUMA ELEMENTARY","010018902196","97","01","-88.067000","30.846600",-1,6,646
"1306","SATSUMA HIGH SCH","010237000953","97","01","-88.056900","30.847100",9,12,524.598433921844
"1307","SCH OF DISCOVERY GENESIS CTR","010297001153","47","01","-87.020300","32.411800",6,6,288
"1308","SCH OF TECH","010303001190","117","01","-86.630900","33.178100",9,12,524.598433921844
"1309","SCOTTSBORO HIGH SCH","010294001147","71","01","-86.002700","34.672800",9,12,785
"1310","SCOTTSBORO JR HIGH SCH","010294001148","71","01","-86.040300","34.654400",7,8,443
"1311","SECOND CHANCE","010243001627","101","01","-86.289600","32.370800",7,12,524.598433921844
"1312","SECTION HIGH SCH","010183000667","71","01","-85.979200","34.581300",0,12,570
"1313","SELMA HIGH SCH","010297001160","47","01","-87.021600","32.428300",9,12,980
"1314","SELMA HIGH SCHOOL","010297001388","47","01","-87.021600","32.428300",9,12,524.598433921844
"1315","SELMA MIDDLE CHAT ACAD","010297001161","47","01","-87.032200","32.422400",7,8,516
"1316","SELMA STREET ELEM SCH","010123000454","69","01","-85.414800","31.209200",0,5,575
"1317","SEMMES ELEM SCH","010237001560","97","01","-88.284100","30.779800",-1,5,571
"1318","SEMMES MIDDLE SCH","010237000955","97","01","-88.290400","30.786300",6,8,1591
"1319","SEQUOYAH SCH - CHALKVILLE CAMPUS","010000200277","73","01","-86.628716","33.673727",7,12,524.598433921844
"1320","SHADES CAHABA ELEM SCH","010176000610","73","01","-86.786500","33.477800",0,5,536
"1321","SHADES MT ELEM SCH","010000701743","73","01","-86.824400","33.426800",0,5,345
"1322","SHADES VALLEY HIGH SCH","010192000744","73","01","-86.667400","33.541800",9,12,1348
"1323","SHEFFIELD HIGH SCH","010300001164","33","01","-87.690300","34.769300",9,12,300
"1324","SHEFFIELD JR HIGH SCH","010300000160","33","01","-87.689600","34.770200",7,8,169
"1325","SHELBY CO HIGH SCH","010303001174","117","01","-86.600100","33.179300",9,12,639
"1326","SHELBY CO INST SER CTRALT SCH PROGS","010303001418","117","01","-86.813400","33.235600",6,12,524.598433921844
"1327","SHELBY ELEM SCH","010303001181","117","01","-86.564600","33.085100",-1,5,170
"1328","SHERWOOD ELEM SCH","010270001093","113","01","-85.003400","32.493100",0,5,479
"1329","SHILOH ELEM SCH","010111000405","47","01","-87.015100","32.290000",3,6,524.598433921844
"1330","SILVERHILL SCH","010027000066","3","01","-87.753900","30.542800",-1,6,432
"1331","SIPSEY JR HIGH SCH","010345001324","127","01","-87.090600","33.828400",-1,8,273
"1332","SIPSEY VALLEY HIGH SCH","010339002153","125","01","-87.728400","33.193900",9,12,486
"1333","SIPSEY VALLEY MIDDLE SCH","010339002154","125","01","-87.728400","33.193900",6,8,389
"1334","SKYLAND ELEM SCH","010336001260","125","01","-87.531000","33.168900",-1,5,376
"1335","SKYLINE HIGH SCH","010183000668","71","01","-86.114500","34.821700",0,12,503
"1336","SLOCOMB ELEM SCH","010166001793","61","01","-85.598200","31.106000",0,5,579
"1337","SLOCOMB HIGH SCH","010166001519","61","01","-85.601600","31.098500",9,12,365
"1338","SLOCOMB MIDDLE SCH","010166001794","61","01","-85.601600","31.098500",6,8,282
"1339","SMITH MIDDLE SCH","010039000184","73","01","-86.701000","33.610400",6,8,561
"1340","SMITH STATION FRESHMAN CTR","010207002197","81","01","-85.100800","32.537800",9,9,524
"1341","SMITHS STATION ELEM SCH","010207000486","81","01","-85.094300","32.532200",-1,6,852
"1342","SMITHS STATION HIGH SCH","010207000795","81","01","-85.077100","32.519900",10,12,1375
"1343","SMITHS STATION INTERMEDIATE","010207000296","81","01","-85.099000","32.537200",-1,6,734
"1344","SMITHS STATION PRIMARY SCH","010207000794","81","01","-85.114900","32.543100",-1,6,835
"1345","SNOW ROGERS ELEM SCH","010192000740","73","01","-86.814600","33.690800",0,5,197
"1346","SOMERVILLE ROAD ELEM SCH","010117000434","103","01","-86.971600","34.593600",-1,5,451
"1347","SOPHIA P KINGSTON ELEM SCH","010297000152","47","01","-87.007800","32.413700",-1,5,258
"1348","SOUTH BALDWIN CTR FOR TECH","010027000665","3","01","-87.696200","30.549500",9,12,524.598433921844
"1349","SOUTH DALE MIDDLE SCH","010105000393","45","01","-85.546900","31.316300",5,8,439
"1350","SOUTH GIRARD SCH","010270001092","113","01","-85.001400","32.436900",8,8,524
"1351","SOUTH HAMPTON ELEM","010039001421","73","01","-86.892400","33.542700",-1,8,569
"1352","SOUTH HIGHLANDS ELEM SCH","010261001078","39","01","-86.258700","31.276700",0,4,552
"1353","SOUTH HIGHLANDS MIDDLE SCH","010048000221","11","01","-85.719300","32.133100",5,8,416
"1354","SOUTH LAMAR SCH","010195001720","75","01","-88.037400","33.562100",0,12,538
"1355","SOUTH SHADES CREST ELEM SCH","010000700342","73","01","-86.878400","33.337500",0,4,630
"1356","SOUTHEASTERN ELEM SCH","010042000211","9","01","-86.584000","33.831400",0,11,644
"1357","SOUTHERN CHOCTAW ELEM SCH","010069000182","23","01","-88.315900","31.842100",0,6,369
"1358","SOUTHERN CHOCTAW HIGH SCH","010069000297","23","01","-88.319300","31.842900",7,12,404
"1359","SOUTHLAWN ELEM SCH","010243001037","101","01","-86.342700","32.301700",0,5,313
"1360","SOUTHLAWN MIDDLE SCH","010243001111","101","01","-86.348700","32.301600",6,8,711
"1361","SOUTHSIDE ELEM SCH","010138001509","55","01","-86.020400","33.916500",0,5,605
"1362","SOUTHSIDE HIGH SCH","010111000406","47","01","-86.971200","32.357800",9,12,406
"1363","SOUTHSIDE HIGH SCH","010138000506","55","01","-86.033400","33.921200",9,12,858
"1364","SOUTHSIDE MIDDLE SCH","010324001236","51","01","-85.894200","32.526600",5,8,598
"1365","SOUTHSIDE PRIMARY SCH","010111000407","47","01","-86.986400","32.366400",0,2,303
"1366","SOUTHVIEW ELEM SCH","010336002134","125","01","-87.501600","33.155200",-1,5,504
"1367","SOUTHVIEW MIDDLE SCHOOL","010336001886","125","01","-87.502900","33.156500",6,8,442
"1368","SOUTHVIEW PRIMARY SCH","010258001778","81","01","-85.373500","32.617800",-1,2,429
"1369","SPAIN PARK HIGH SCH","010000701456","117","01","-86.728800","33.392700",9,12,1633
"1370","SPAIN REHAB","010192001574","73","01","-86.803500","33.505100",0,12,524.598433921844
"1371","SPANISH FORT ELEM SCH","010027000067","3","01","-87.905600","30.673900",0,5,726
"1372","SPANISH FORT HIGH SCH","010027002073","3","01","-87.853800","30.689100",9,12,1074
"1373","SPANISH FORT MIDDLE SCHOOL","010027001888","3","01","-87.849300","30.716400",6,8,852
"1374","SPARKMAN ELEM SCH","010248001050","103","01","-86.843200","34.448700",0,8,265
"1375","SPARKMAN HIGH SCH","010222000848","89","01","-86.715600","34.834300",10,12,1755
"1376","SPARKMAN MIDDLE","010222001412","89","01","-86.713200","34.868000",6,8,808
"1377","SPARKMAN NINTH GRADE SCH","010222001821","89","01","-86.715700","34.837000",9,9,695
"1378","SPEAKE HIGH SCH","010204000788","79","01","-87.171500","34.416300",-1,8,253
"1379","SPENCER ELEM","010237001415","97","01","-88.120000","30.694000",-1,5,524.598433921844
"1380","SPRAYBERRY REG ED CTR","010339001702","125","01","-87.571900","33.221300",-1,12,67
"1381","SPRING GARDEN HIGH SCH","010063000283","19","01","-85.544000","33.981700",-1,12,522
"1382","SPRINGVILLE ELEM SCH","010306200217","115","01","-86.468400","33.779000",-1,5,907
"1383","SPRINGVILLE HIGH SCH","010306201377","115","01","-86.469000","33.778700",9,12,657
"1384","SPRINGVILLE MIDDLE SCH","010306200520","115","01","-86.468000","33.777900",6,8,534
"1385","SR BUTLER HIGH SCH","010180000619","89","01","-86.617800","34.726400",9,12,623
"1386","STANHOPE ELMORE HIGH SCH","010129000468","51","01","-86.362400","32.494200",9,12,1066
"1387","STAPLETON SCH","010027000068","3","01","-87.790200","30.742400",-1,6,182
"1388","STEELE JR HIGH SCH","010306201378","115","01","-86.202400","33.941600",0,8,202
"1389","STEMLEY ROAD ELEM SCH","010318001806","121","01","-86.142300","33.507800",0,6,417
"1390","STEVENSON ELEM SCH","010183001533","71","01","-85.817200","34.877000",0,4,359
"1391","STEVENSON MIDDLE SCH","010183001534","71","01","-85.834600","34.862900",5,8,274
"1392","STOWERS HILL INTERMEDIATE SCH","010018000035","55","01","-86.125600","33.998500",-1,5,536
"1393","STRAUGHN ELEM SCH","010093000280","39","01","-86.416200","31.388500",0,5,565
"1394","STRAUGHN HIGH SCH","010093000363","39","01","-86.415700","31.390600",9,12,444
"1395","STRAUGHN MIDDLE SCH","010093001672","39","01","-86.417000","31.387800",6,8,289
"1396","STRIPLIN ELEM SCH","010162000564","55","01","-86.010200","34.007800",-1,5,344
"1397","SULLIGENT SCH","010195000756","75","01","-88.129800","33.898300",0,12,835
"1398","SUMITON ELEM MIDDLE SCH","010345001325","127","01","-87.058000","33.755400",0,8,833
"1399","SUMMERDALE SCH","010027000069","3","01","-87.695700","30.487200",-1,8,503
"1400","SUMTER CENTRAL HIGH SCH","010309002201","119","01","-88.229300","32.550000",9,12,603
"1401","SUMTER CO HIGH SCH","010309001593","119","01","-88.293600","32.490100",9,12,524.598433921844
"1402","SUN VALLEY ELEM SCH","010039001762","73","01","-86.715600","33.636300",-1,5,626
"1403","SUNSHINE HIGH SCH","010171000592","65","01","-87.580200","32.564800",0,12,225
"1404","SUSAN MOORE ELEM SCH","010042001481","9","01","-86.429800","34.083200",0,6,699
"1405","SUSAN MOORE HIGH SCH","010042000213","9","01","-86.430300","34.082800",7,12,604
"1406","SW ALA REG SCH DEAF-BLIND","010237001689","97","01","-88.142100","30.640700",-1,5,56
"1407","SWEET WATER HIGH SCH","010225000857","91","01","-87.865700","32.097800",0,12,694
"1408","SWIFT CONSOLIDATED ELEM SCH","010027000070","3","01","-87.728800","30.316300",-1,6,272
"1409","SYCAMORE SCH","010318001599","121","01","-86.206100","33.252800",0,4,198
"1410","SYLACAUGA HIGH SCH","010312001200","121","01","-86.251400","33.176800",9,12,729
"1411","SYLVANIA SCH","010114000424","49","01","-85.814200","34.564400",0,12,907
"1412","T R SIMMONS ELEM SCH","010189000677","127","01","-87.262900","33.832200",-1,5,529
"1413","T S BOYD SCH","010345001326","127","01","-87.088300","33.726400",-1,8,230
"1414","T S MORRIS ELEM SCH","010243001105","101","01","-86.328600","32.367000",0,5,529
"1415","T V Y S D F","010342000273","33","01","-87.660500","34.703600",5,12,524.598433921844
"1416","TALLADEGA CAREER TECH CTR","010315001390","121","01","-86.079100","33.424000",9,12,524.598433921844
"1417","TALLADEGA CO CENTRAL HIGH","010318001215","121","01","-86.160200","33.491500",7,12,215
"1418","TALLADEGA CO GENESIS SCH","010318001206","121","01","-86.196300","33.318600",3,12,524.598433921844
"1419","TALLADEGA HIGH SCH","010315001207","121","01","-86.078200","33.424900",9,12,571
"1420","TALLAPOOSA CO ALT SCH","010321001858","123","01","-85.761700","32.823800",6,12,524.598433921844
"1421","TALLASSEE ELEM SCH","010324001601","51","01","-85.912900","32.536200",0,4,789
"1422","TALLASSEE HIGH SCH","010324001238","51","01","-85.897300","32.537000",9,12,544
"1423","TANNER HIGH SCH","010210000808","83","01","-86.974100","34.732900",0,12,842
"1424","TANNER WILLIAMS ELEM SCH","010237000960","97","01","-88.369000","30.724300",0,5,308
"1425","TARRANT ALT SCH","010327001391","73","01","-86.779800","33.572700",5,12,524.598433921844
"1426","TARRANT ED CTR","010327001394","73","01","-86.779800","33.572700",9,12,524.598433921844
"1427","TARRANT ELEM SCH","010327001239","73","01","-86.772600","33.578400",0,2,291
"1428","TARRANT HIGH SCH","010327001240","73","01","-86.769000","33.608600",7,12,472
"1429","TARRANT INTERMEDIATE SCH","010327002138","73","01","-86.768000","33.579500",3,6,330
"1430","TARRANT MIDDLE SCH","010327001241","73","01","-86.769000","33.608600",7,9,524.598433921844
"1431","TAYLOR WHITE ELEMENTARY SCH","010237002202","97","01","-88.293200","30.680300",0,5,325
"1432","TAYLORVILLE PRIMARY SCH","010339001445","125","01","-87.539100","33.123000",0,2,531
"1433","TENTH STREET ELEM SCH","010009000021","15","01","-85.808600","33.658100",0,5,294
"1434","THARPTOWN ELEM SCH","010159000547","59","01","-87.621100","34.525700",0,6,383
"1435","THARPTOWN HIGH SCH","010159001869","59","01","-87.619100","34.525800",7,12,278
"1436","THE BOYD SCHOOL","010002001831","125","01","-87.121300","33.228200",-2,-2,524.598433921844
"1437","THE BRIDGE INC","010237001586","97","01","-88.337200","30.619100",6,12,524.598433921844
"1438","THE BRIDGE INC MOBILE","010017902107","97","01","-88.338600","30.619900",-2,-2,524.598433921844
"1439","THE JUDY JESTER LEARNING CTR","010204000777","79","01","-87.296500","34.478100",7,12,524.598433921844
"1440","THE LEARNING TREE","010237001600","97","01","-88.229200","30.794800",0,12,524.598433921844
"1441","THE RUSHTON SCHOOL","010004401855","73","01","-86.758100","33.545900",6,12,524.598433921844
"1442","THE SELDON CTR","010180000254","89","01","-86.608300","34.729800",0,12,524.598433921844
"1443","THEODORE HIGH SCH","010237001688","97","01","-88.185700","30.544600",9,12,1630
"1444","THERAPEUTIC ACADEMIC PROG","010162001650","55","01","-86.010100","34.013800",1,5,524.598433921844
"1445","THOMASVILLE ELEM SCH","010330001247","25","01","-87.735300","31.890400",-1,4,541
"1446","THOMASVILLE HIGH SCH","010330001248","25","01","-87.737600","31.886100",9,12,499
"1447","THOMASVILLE MIDDLE SCH","010330001701","25","01","-87.736700","31.885600",5,8,410
"1448","THOMPSON ELEM SCH","010162001666","55","01","-85.969300","34.039600",-1,5,216
"1449","THOMPSON HIGH SCH","010019001183","117","01","-86.831700","33.222300",9,12,1766
"1450","THOMPSON INTERMEDIATE SCH","010019001182","117","01","-86.823500","33.224600",4,5,953
"1451","THOMPSON MIDDLE SCH","010019001184","117","01","-86.838000","33.215300",7,8,962
"1452","THOMPSON SIXTH GRADE CTR","010019002149","117","01","-86.823100","33.227500",6,6,512
"1453","THORSBY HIGH SCH","010066000270","21","01","-86.716300","32.913600",0,12,763
"1454","THREE SPRINGS RESIDENTIAL TREATMENT","010204001575","79","01","-87.312100","34.670200",7,12,524.598433921844
"1455","THURSTON T NELSON ELEM SCH","010294001587","71","01","-86.052900","34.621900",0,4,247
"1456","TIPTON MIDDLE SCH","010111000408","47","01","-87.016200","32.370900",6,8,289
"1457","TL FAULKNER ?SCH","010237001083","97","01","-88.082300","30.740600",9,12,524.598433921844
"1458","TOM ORR CAREER TECH CTR","010069000755","23","01","-88.233200","32.079400",10,12,524.598433921844
"1459","TOWNLEY JR HIGH SCH","010345001329","127","01","-87.428200","33.829000",0,8,524.598433921844
"1460","TR MILLER HIGH SCH","010045000216","53","01","-87.070400","31.138200",9,12,334
"1461","TRACE CROSSINGS ELEM SCH","010000700091","73","01","-86.844700","33.340900",-1,4,549
"1462","TRI-WILL/PORTA-CRAS SCHOOL","010002801839","7","01","-87.186900","33.163600",-2,-2,524.598433921844
"1463","TROY ELEM SCH","010333001807","109","01","-85.955200","31.817500",-1,6,1129
"1464","TROY-PIKE CTR FOR TECH","010279001137","109","01","-85.952000","31.810900",8,12,524.598433921844
"1465","TURTLE POINT ENVIRONMENTAL SCIENCE CTR","010135001409","53","01","-87.273400","31.007100",-1,12,524.598433921844
"1466","TUSC REG DET CTR","010339000233","125","01","-87.521800","33.152400",7,12,524.598433921844
"1467","TUSCALOOSA CO HIGH SCH","010339001291","125","01","-87.608400","33.307800",9,12,1489
"1468","TUSCALOOSA CTR TECH","010336001399","125","01","-87.577500","33.187000",9,12,524.598433921844
"1469","TUSCALOOSA MAGNET SCH - ELEM","010336002145","125","01","-87.524000","33.214800",0,5,279
"1470","TUSCALOOSA MAGNET SCH - MIDDLE","010336002143","125","01","-87.524000","33.214800",6,8,141
"1471","TUSCALOOSA MIDDLE SCH","010336001808","125","01","-87.524000","33.214800",6,8,524.598433921844
"1472","TUSKEGEE INST MIDDLE SCH","010219000826","87","01","-85.718400","32.431800",6,8,257
"1473","TUSKEGEE PUBLIC ELEM","010219000827","87","01","-85.687200","32.421300",4,6,326
"1474","TUTWILER PRISON","010017602110","51","01","-86.193800","32.564200",-2,-2,524.598433921844
"1475","UCP OF GREATER BIRMINGHAM","010001901830","73","01","-86.807300","33.529400",-2,-2,524.598433921844
"1476","UCP OF MOBILE INC","010237001624","97","01","-88.117400","30.692500",-1,0,524.598433921844
"1477","UNDERWOOD ELEM SCH","010201000773","77","01","-87.695400","34.872400",0,6,367
"1478","UNION GROVE ELEM SCH","010000600887","95","01","-86.446800","34.400000",-1,2,216
"1479","UNION HILL SCH","010248001051","103","01","-86.622400","34.472700",0,8,460
"1480","UNION SPRINGS ELEM SCH","010048000222","11","01","-85.718500","32.146200",0,4,636
"1481","UNIONTOWN ELEM SCH","010267001579","105","01","-87.517600","32.444800",0,6,405
"1482","UNIV PLACE ELEM SCH","010180000647","89","01","-86.637500","34.733000",-1,5,576
"1483","UNIV PLACE ELEM SCH","010336001266","125","01","-87.538300","33.193300",-1,5,421
"1484","UNIVERSITY PLACE MIDDLE SCHOOL","010336001881","125","01","-87.539000","33.193600",6,8,144
"1485","US JONES ELEM SCH","010120000441","91","01","-87.829900","32.512600",3,5,464
"1486","VALLEY ELEM SCH","010303001185","117","01","-86.795200","33.325300",0,2,750
"1487","VALLEY GRANDE ELEM SCH","010111000409","47","01","-86.983600","32.497400",0,6,465
"1488","VALLEY HEAD HIGH SCH","010114000425","49","01","-85.614100","34.564100",0,12,492
"1489","VALLEY HIGH SCH","010060000271","17","01","-85.181500","32.802200",9,12,850
"1490","VALLEY INTERMEDIATE SCH","010303001461","117","01","-86.789600","33.309400",3,5,718
"1491","VALLEY JR HIGH SCH","010345001611","127","01","-87.177300","33.826900",-1,8,610
"1492","VANCE ELEM SCH","010339001292","125","01","-87.239900","33.174600",0,5,460
"1493","VAUGHN ROAD ELEM SCH","010243001039","101","01","-86.234000","32.347700",0,5,495
"1494","VERBENA HIGH SCH","010066000288","21","01","-86.508800","32.749000",0,12,587
"1495","VERNER ELEM SCH","010336001632","125","01","-87.495400","33.288700",0,5,593
"1496","VERNON ELEM SCH","010195000757","75","01","-88.112100","33.754400",0,3,313
"1497","VESTAVIA HILLS ELEM CENTRAL","010343001757","73","01","-86.789100","33.433000",4,5,720
